iter	Accuracy	MultiClass
1017	0.9871	0.1588192215
1018	0.9874	0.1586572303
1019	0.9875	0.1585010812
1020	0.9877	0.1583319489
1021	0.9875	0.1581587067
1022	0.9876	0.158001987
1023	0.9875	0.1578330577
1024	0.9875	0.1576578452
1025	0.9877	0.1574795569
1026	0.9878	0.1573121221
1027	0.9878	0.1571508898
1028	0.9879	0.156980592
1029	0.9879	0.1568314458
1030	0.988	0.1566309681
1031	0.988	0.1564625955
1032	0.9881	0.1562898418
1033	0.9882	0.1560972484
1034	0.9881	0.1558970435
1035	0.9883	0.1557262125
1036	0.9882	0.1555530047
1037	0.9882	0.1553907155
1038	0.9882	0.1552397044
1039	0.9887	0.155042728
1040	0.9885	0.1548854718
1041	0.9884	0.1547199419
1042	0.9885	0.1545486448
1043	0.9888	0.1543645369
1044	0.9889	0.1542034146
1045	0.989	0.1540202112
1046	0.989	0.1538502746
1047	0.989	0.1536754092
1048	0.989	0.1534989859
1049	0.9891	0.1533198669
1050	0.9891	0.1531601779
1051	0.9893	0.1530044338
1052	0.9893	0.1528630536
1053	0.9893	0.152699546
1054	0.9893	0.1525394761
1055	0.9893	0.1523795961
1056	0.9894	0.1522326724
1057	0.9894	0.1520860711
1058	0.9894	0.15194777
1059	0.9895	0.1517817539
1060	0.9895	0.1516347716
1061	0.9896	0.1514904617
1062	0.9895	0.1513314809
1063	0.9896	0.1511895019
1064	0.9896	0.1510424722
1065	0.9896	0.150881294
1066	0.9897	0.1507082482
1067	0.9897	0.1505595975
1068	0.9897	0.1503771996
1069	0.9896	0.1502211507
1070	0.9897	0.1500546352
1071	0.9898	0.1499001313
1072	0.9897	0.1497520665
1073	0.9898	0.1495719736
1074	0.9898	0.1493910018
1075	0.99	0.1492272301
